ISO,Producer country,Year,Commodity,Deforestation risk (ha/yr),Deforestation emissions incl. peat drainage (tCO2/yr),Deforestation emissions excl. peat drainage (tCO2/yr),Cumulative_Deforestation risk (ha),Cumulative_Deforestation emissions incl. peat drainage (tCO2),Vietnam_production(tonnes)
BRA,Brazil,1961,,,,,,,4100
BRA,Brazil,1962,,,,,,,4020
BRA,Brazil,1963,,,,,,,4500
BRA,Brazil,1964,,,,,,,5500
BRA,Brazil,1965,,,,,,,7500
BRA,Brazil,1966,,,,,,,6300
BRA,Brazil,1967,,,,,,,7000
BRA,Brazil,1968,,,,,,,6000
BRA,Brazil,1969,,,,,,,6500
BRA,Brazil,1970,,,,,,,7300
BRA,Brazil,1971,,,,,,,6500
BRA,Brazil,1972,,,,,,,7000
BRA,Brazil,1973,,,,,,,6600
,,1974,,,,,,,6000
,,1975,,,,,,,6800
,,1976,,,,,,,9700
,,1977,,,,,,,5600
,,1978,,,,,,,5400
,,1979,,,,,,,5100
,,1980,,,,,,,8400
,,1981,,,,,,,5300
,,1982,,,,,,,5300
,,1983,,,,,,,5700
,,1984,,,,,,,4800
,,1985,,,,,,,12300
,,1986,,,,,,,25000
,,1987,,,,,,,27500
,,1988,,,,,,,42000
,,1989,,,,,,,40900
,,1990,,,,,,,92000
,,1991,,,,,,,100000
,,1992,,,,,,,119200
,,1993,,,,,,,136100
,,1994,,,,,,,180000
,,1995,,,,,,,218000
,,1996,,,,,,,320100
,,1997,,,,,,,420500
,,1998,,,,,,,409300
,,1999,,,,,,,553200
,,2000,,,,,,,802500
,,2001,,,,,,,840600
,,2002,,,,,,,699500
,,2003,,,,,,,793700
,,2004,,,,,,,913800
,,2005,"Coffee, green"," 6,090 "," 2,249,974 "," 1,643,641 "," 3,899 "," 2,249,974 ",831000
,,2006,"Coffee, green"," 3,899 "," 1,646,890 "," 1,038,367 "," 9,989 "," 3,896,863 ",985300
,,2007,"Coffee, green"," 1,890 "," 983,598 "," 390,964 "," 11,879 "," 4,880,462 ",1251000
,,2008,"Coffee, green"," 1,301 "," 807,374 "," 244,514 "," 13,181 "," 5,687,835 ",1055811
,,2009,"Coffee, green"," 1,299 "," 777,477 "," 235,431 "," 14,480 "," 6,465,313 ",1057540
,,2010,"Coffee, green"," 1,357 "," 763,283 "," 220,922 "," 15,837 "," 7,228,596 ",1105700
,,2011,"Coffee, green"," 1,504 "," 819,554 "," 281,815 "," 17,341 "," 8,048,150 ",1276506
,,2012,"Coffee, green"," 1,615 "," 840,938 "," 323,808 "," 18,956 "," 8,889,088 ",1260463
,,2013,"Coffee, green"," 1,832 "," 817,287 "," 315,097 "," 20,788 "," 9,706,375 ",1326688
,,2014,"Coffee, green"," 1,847 "," 805,237 "," 325,021 "," 22,635 "," 10,511,613 ",1406469
,,2015,"Coffee, green"," 1,487 "," 788,553 "," 282,720 "," 24,122 "," 11,300,166 ",1452999
,,2016,"Coffee, green"," 1,245 "," 742,180 "," 222,125 "," 25,367 "," 12,042,347 ",1460800
,,2017,"Coffee, green"," 1,177 "," 649,444 "," 190,193 "," 26,544 "," 12,691,790 ",1542398
,,2018,,,,,,,1616307
,,2019,,,,,,,1686765
,,2020,,,,,,,1763476