Entity-sorted,LUC-sorted,Agriculture-sorted,SupplyChain-sorted,total-sorted,Category-sorted,,Entity,LUC,Agriculture,SupplyChain,total,Category
Potatoes,0,0.2,0.1,0.3,Plant,,Potatoes,0,0.2,0.1,0.3,Plant
Onions & Leeks,0,0.2,0.1,0.3,Plant,,Onions & Leeks,0,0.2,0.1,0.3,Plant
Apples,0,0.2,0.1,0.3,Plant,,Apples,0,0.2,0.1,0.3,Plant
Peas,0,0.7,0.1,0.8,Plant,,Peas,0,0.7,0.1,0.8,Plant
Bananas,0,0.3,0.5,0.8,Plant,,Bananas,0,0.3,0.5,0.8,Plant
Sweeteners & Honey,0,0,0.9,0.9,Plant,,Sweeteners & Honey,0,0,0.9,0.9,Plant
Maize (Corn),0.3,0.5,0.3,1.1,Plant,,Maize (Corn),0.3,0.5,0.3,1.1,Plant
Berries & Grapes,0,0.7,0.4,1.1,Plant,,Berries & Grapes,0,0.7,0.4,1.1,Plant
Soymilk,0.2,0.1,1,1.3,Plant,,Soymilk,0.2,0.1,1,1.3,Plant
Cereals,0.2,0.7,0.4,1.3,Plant,,Cereals,0.2,0.7,0.4,1.3,Plant
Barley (Beer),0,0.2,1.2,1.4,Plant,,Barley (Beer),0,0.2,1.2,1.4,Plant
Tomatoes,0.4,0.7,0.3,1.4,Plant,,Tomatoes,0.4,0.7,0.3,1.4,Plant
Beet Sugar,0,0.5,0.9,1.4,Plant,,Beet Sugar,0,0.5,0.9,1.4,Plant
Wheat & Rye (Bread),0.1,0.8,0.6,1.5,Plant,,Wheat & Rye (Bread),0.1,0.8,0.6,1.5,Plant
Oatmeal,0,1.4,0.2,1.6,Plant,,Oatmeal,0,1.4,0.2,1.6,Plant
Groundnuts,0.4,1.4,0.6,2.4,Plant,,Groundnuts,0.4,1.4,0.6,2.4,Plant
Cane Sugar,1.2,0.5,0.9,2.6,Plant,,Cane Sugar,1.2,0.5,0.9,2.6,Plant
Tofu,1,0.5,1.8,3.3,Plant,,Fish & Prawns (capture),0,2.4,0.3,2.7,Meat&dairy
Sunflower Oil,0.1,2.1,1.3,3.5,Plant,,Milk,0.5,1.7,0.6,2.8,Meat&dairy
Rapeseed Oil,0.2,2.3,1.2,3.7,Plant,,"Butter, Cream",0.5,1.7,0.6,2.8,Meat&dairy
Rice,0,3.6,0.5,4.1,Plant,,Tofu,1,0.5,1.8,3.3,Plant
Soybean Oil,3.1,1.5,1.4,6,Plant,,Sunflower Oil,0.1,2.1,1.3,3.5,Plant
Palm Oil,3.1,2.1,2.4,7.6,Plant,,Rapeseed Oil,0.2,2.3,1.2,3.7,Plant
Spices Misc.,6,4.9,1.1,12,Plant,,Rice,0,3.6,0.5,4.1,Plant
Coffee,3.7,10.4,2.5,16.6,Plant,,Eggs,0.7,3.5,0.3,4.5,Meat&dairy
Dark Chocolate,14.3,3.7,0.7,18.7,Plant,,Fish (farmed),0.5,4.4,0.2,5.1,Meat&dairy
Fish & Prawns (capture),0,2.4,0.3,2.7,Meat&dairy,,Soybean Oil,3.1,1.5,1.4,6,Plant
Milk,0.5,1.7,0.6,2.8,Meat&dairy,,Poultry Meat,2.5,2.5,1.1,6.1,Meat&dairy
"Butter, Cream",0.5,1.7,0.6,2.8,Meat&dairy,,Animal Fats,2,3.6,1.2,6.8,Meat&dairy
Eggs,0.7,3.5,0.3,4.5,Meat&dairy,,Pig Meat,1.5,4.6,1.1,7.2,Meat&dairy
Fish (farmed),0.5,4.4,0.2,5.1,Meat&dairy,,Palm Oil,3.1,2.1,2.4,7.6,Plant
Poultry Meat,2.5,2.5,1.1,6.1,Meat&dairy,,Prawns (farmed),0.2,10.9,0.7,11.8,Meat&dairy
Animal Fats,2,3.6,1.2,6.8,Meat&dairy,,Spices Misc.,6,4.9,1.1,12,Plant
Pig Meat,1.5,4.6,1.1,7.2,Meat&dairy,,Coffee,3.7,10.4,2.5,16.6,Plant
Prawns (farmed),0.2,10.9,0.7,11.8,Meat&dairy,,Dark Chocolate,14.3,3.7,0.7,18.7,Plant
Beef (dairy herd),0.9,18.2,2,21.1,Meat&dairy,,Beef (dairy herd),0.9,18.2,2,21.1,Meat&dairy
Cheese,4.5,15.4,1.3,21.2,Meat&dairy,,Cheese,4.5,15.4,1.3,21.2,Meat&dairy
Lamb & Mutton,0.5,21.9,2.1,24.5,Meat&dairy,,Lamb & Mutton,0.5,21.9,2.1,24.5,Meat&dairy
Beef (beef herd),16.3,41.3,2,59.6,Meat&dairy,,Beef (beef herd),16.3,41.3,2,59.6,Meat&dairy